be 	was/were 	been
bear 	bore 	born/borne
beat 	beat 	beaten
become 	became 	become
begin 	began 	begun
bind 	bound 	bound
bite 	bit 	bit/bitten
bleed 	bled 	bled
blow 	blew 	blown
break 	broke 	broken
bring 	brought 	brought
build 	built 	built
burn 	burnt/burned 	burnt/burned
buy 	bought 	bought
can 	could 	could
catch 	caught 	caught
choose 	chose 	chosen
come 	came 	come
cost 	cost 	cost
cut 	cut 	cut
do 	did 	done
draw 	drew 	drawn
dream 	dreamt/dreamed 	dreamt/dreamed
drink 	drank 	drunk
drive 	drove 	driven
eat 	ate 	eaten
fall 	fell 	fallen
feed 	fed 	fed
feel 	felt 	felt
fight 	fought 	fought
find 	found 	found
fit 	fit 	fit
fly 	flew 	flown
forbid 	forbad/forbade 	forbidden
forget 	forgot 	forgotten
forgive 	forgave 	forgiven
freeze 	froze 	frozen
get 	got 	got
give 	gave 	given
go 	went 	gone
grow 	grew 	grown 
hang 	hung 	hung
have 	had 	had
hear 	heard 	heard
hide 	hid 	hidden
hit 	hit 	hit
hold 	held 	held
hurt 	hurt 	hurt
keep 	kept 	kept
knit 	knit/knitted 	knit/knitted 	
know 	knew 	known
lay 	laid 	laid
lead 	led 	led
learn 	learnt/learned 	learnt/learned
leave 	left 	left
lend 	lent 	lent
let 	let 	let
lie 	lay 	lain
light 	lit/lighted 	lit/lighted
lose 	lost 	lost
make 	made 	made
may 	might 	might
mean 	meant 	meant
meet 	met 	met
misspell 	misspelt/misspeled 	misspelt/misspeled
mistake 	mistook 	mistaken
misunderstand 	misunderstood 	misunderstood
overlay 	overlaid 	overlaid
pay 	paid 	paid
prove 	proved 	proved/proven
put 	put 	put
read 	read 	read
rid 	rid/ridded 	rid/ridded
ride 	rode 	ridden
ring 	rang 	rung
rise 	rose 	risen
run 	ran 	run
say 	said 	said
see 	saw 	seen
sell 	sold 	sold
send 	sent 	sent
set 	set 	set
shake 	shook 	shaken
shave 	shaved 	shaved/shaven
shine 	shone 	shone
shoot 	shot 	shot
show 	showed 	shown
shut 	shut 	shut
sing 	sang 	sung
sink 	sank 	sunk
sit 	sat 	sat
sleep 	slept 	slept
smell 	smelt/smelled 	smelt/smelled
speak 	spoke 	spoken
speed 	sped 	sped
spell 	spelt/spelled 	spell/spelled
spend 	spent 	spent
spoil 	spoilt/spoiled 	spoilt/spoiled
spread 	spread 	spread
stand 	stood 	stood
steal 	stole 	stolen
strike 	struck 	struck
swear 	swore 	sworn
sweep 	swept 	swept
swim 	swam 	swum
take 	took 	taken
teach 	taught 	taught
tell 	told 	told
think 	thought 	thought
throw 	threw 	thrown
undergo 	underwent 	undergone
underlie 	underlay 	underlain
understand 	understood 	understood
undo 	undid 	undone
upset 	upset 	upset
wake 	woke 	woken
wear 	wore 	worn
wed 	wed/wedded 	wed/wedded
wet 	wet/wetted 	wet/wetted
win 	won 	won
withdraw 	withdrew 	withdrawn
write 	wrote 	written 
